,Year ending March,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,Offence Subgroup Code,Offence Subgroup Name,Crime Severity,Severity Total Score
818,2018,3018,ALTONA,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,2,A81,Dangerous driving,7,14
841,2018,3018,ALTONA,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,4,D24,Offensive language,3,12
842,2018,3018,ALTONA,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,7,D23,Offensive conduct,5,35
843,2018,3018,ALTONA,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,18,D22,Drunk and disorderly in public,4,72
844,2018,3018,ALTONA,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
845,2018,3018,ALTONA,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
851,2018,3018,SEAHOLME,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
867,2018,3019,BRAYBROOK,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,10,A232,Non-FV Common assault,10,100
869,2018,3019,BRAYBROOK,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,24,A212,Non-FV Serious assault,10,240
874,2018,3019,BRAYBROOK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
876,2018,3019,BRAYBROOK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
877,2018,3019,BRAYBROOK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,3,A712,Non-FV Stalking,10,30
879,2018,3019,BRAYBROOK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,4,A89,Other dangerous or negligent acts endangering people,7,28
880,2018,3019,BRAYBROOK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
881,2018,3019,BRAYBROOK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,4,A81,Dangerous driving,7,28
906,2018,3019,BRAYBROOK,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
907,2018,3019,BRAYBROOK,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,12,D22,Drunk and disorderly in public,4,48
908,2018,3019,BRAYBROOK,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
909,2018,3019,BRAYBROOK,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,3,D35,Improper movement on public or private space,4,12
910,2018,3019,BRAYBROOK,D Public order and security offences,D40 Public security offences,D49 Other public security offences,1,D49,Other public security offences,7,7
916,2018,3020,ALBION,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,10,A232,Non-FV Common assault,10,100
918,2018,3020,ALBION,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,8,A212,Non-FV Serious assault,10,80
925,2018,3020,ALBION,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,4,A89,Other dangerous or negligent acts endangering people,7,28
946,2018,3020,ALBION,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
947,2018,3020,ALBION,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,5,D22,Drunk and disorderly in public,4,20
948,2018,3020,ALBION,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
955,2018,3020,SUNSHINE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,61,A232,Non-FV Common assault,10,610
957,2018,3020,SUNSHINE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,73,A212,Non-FV Serious assault,10,730
962,2018,3020,SUNSHINE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,15,A732,Non-FV Threatening behaviour,7,105
964,2018,3020,SUNSHINE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,4,A722,Non-FV Harassment and private nuisance,8,32
966,2018,3020,SUNSHINE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,4,A712,Non-FV Stalking,10,40
968,2018,3020,SUNSHINE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,10,A89,Other dangerous or negligent acts endangering people,7,70
969,2018,3020,SUNSHINE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
970,2018,3020,SUNSHINE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,3,A81,Dangerous driving,7,21
996,2018,3020,SUNSHINE,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,2,D26,Disorderly conduct,5,10
998,2018,3020,SUNSHINE,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,5,D24,Offensive language,3,15
999,2018,3020,SUNSHINE,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,6,D23,Offensive conduct,5,30
1000,2018,3020,SUNSHINE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,63,D22,Drunk and disorderly in public,4,252
1001,2018,3020,SUNSHINE,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,6,D21,Riot and affray,6,36
1002,2018,3020,SUNSHINE,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,6,D35,Improper movement on public or private space,4,24
1004,2018,3020,SUNSHINE,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,D32,Hoaxes,7,7
1017,2018,3020,SUNSHINE NORTH,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,13,A232,Non-FV Common assault,10,130
1019,2018,3020,SUNSHINE NORTH,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,19,A212,Non-FV Serious assault,10,190
1024,2018,3020,SUNSHINE NORTH,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,6,A732,Non-FV Threatening behaviour,7,42
1026,2018,3020,SUNSHINE NORTH,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,2,A722,Non-FV Harassment and private nuisance,8,16
1028,2018,3020,SUNSHINE NORTH,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,2,A712,Non-FV Stalking,10,20
1030,2018,3020,SUNSHINE NORTH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,7,A89,Other dangerous or negligent acts endangering people,7,49
1031,2018,3020,SUNSHINE NORTH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,3,A83,Throw or discharge object endangering people,7,21
1054,2018,3020,SUNSHINE NORTH,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,1,D26,Disorderly conduct,5,5
1055,2018,3020,SUNSHINE NORTH,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
1056,2018,3020,SUNSHINE NORTH,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,6,D22,Drunk and disorderly in public,4,24
1062,2018,3020,SUNSHINE WEST,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,17,A232,Non-FV Common assault,10,170
1064,2018,3020,SUNSHINE WEST,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,22,A212,Non-FV Serious assault,10,220
1069,2018,3020,SUNSHINE WEST,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,4,A732,Non-FV Threatening behaviour,7,28
1071,2018,3020,SUNSHINE WEST,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,2,A722,Non-FV Harassment and private nuisance,8,16
1074,2018,3020,SUNSHINE WEST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,9,A89,Other dangerous or negligent acts endangering people,7,63
1075,2018,3020,SUNSHINE WEST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
1076,2018,3020,SUNSHINE WEST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,2,A81,Dangerous driving,7,14
1101,2018,3020,SUNSHINE WEST,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
1102,2018,3020,SUNSHINE WEST,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,2,D22,Drunk and disorderly in public,4,8
1103,2018,3020,SUNSHINE WEST,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
1104,2018,3020,SUNSHINE WEST,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
1113,2018,3021,ALBANVALE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
1115,2018,3021,ALBANVALE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,7,A212,Non-FV Serious assault,10,70
1118,2018,3021,ALBANVALE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,2,A732,Non-FV Threatening behaviour,7,14
1120,2018,3021,ALBANVALE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
1138,2018,3021,ALBANVALE,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
1141,2018,3021,ALBANVALE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
1142,2018,3021,ALBANVALE,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
1150,2018,3021,KEALBA,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
1152,2018,3021,KEALBA,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2,A212,Non-FV Serious assault,10,20
1156,2018,3021,KEALBA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
1157,2018,3021,KEALBA,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
1158,2018,3021,KEALBA,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
1159,2018,3021,KEALBA,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
1179,2018,3021,KEALBA,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,2,D22,Drunk and disorderly in public,4,8
1180,2018,3021,KEALBA,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
1181,2018,3021,KEALBA,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,D32,Hoaxes,7,7
1186,2018,3021,KINGS PARK,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,4,A232,Non-FV Common assault,10,40
1188,2018,3021,KINGS PARK,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,7,A212,Non-FV Serious assault,10,70
1192,2018,3021,KINGS PARK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
1195,2018,3021,KINGS PARK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
1196,2018,3021,KINGS PARK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
